spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms
20513489,513489 (2009 EV),513489,,,Y,Y,0,20.12,,,,,,,,,,,,,,,,,,,28,2460200.5,60200,2023-09-13.0,J2000,0.5235,1.729,0.824,17,138.56,250.26,211.99,2.63,0.4337,2460541.8,2024-08-19.3,830,2.27,0.0308,12,2.98,3.95,2.40E-07,1.30E-08,4.10E-07,2.90E-05,2.00E-05,4.00E-05,2.50E-05,2.00E-08,5.00E-09,6.10E-05,9.60E-06,APO,Otto Matic,3511,03-08-2008,15-03-2018,127,,,0,0.52374
20514150,514150 (2015 KJ57),514150,,,Y,Y,0,21.53,,,,,,,,,,,,,,,,,,,52,2460200.5,60200,2023-09-13.0,J2000,0.4041,1.559,0.929,2.63,14.4,336.46,37.13,2.19,0.5064,2460127.16,2023-07-01.6,711,1.95,0.0124,4.84,3.24,4.34,2.40E-08,1.40E-08,3.90E-08,4.40E-06,1.70E-04,1.70E-04,1.50E-05,2.00E-08,7.00E-09,3.00E-05,9.90E-06,APO,Otto Matic,994,18-05-2015,05-02-2018,164,,,0,0.47163
20514568,514568 (1994 RC),514568,,,Y,Y,0,19.22,,,,,,,,,,,,,,,,,,,26,2460200.5,60200,2023-09-13.0,J2000,0.6034,2.264,0.898,4.76,344.26,286.54,197.7,3.63,0.2894,2460761.27,2025-03-26.7,1.24E+03,3.41,0.038,14.8,1.54,3.35,5.70E-08,7.40E-09,1.30E-07,1.70E-05,9.20E-05,9.40E-05,5.80E-06,1.20E-08,1.40E-09,2.00E-05,6.10E-06,APO,Otto Matic,8979,07-04-1994,06-11-2018,132,,,0,0.60807
20514596,514596 (2003 FG),514596,,,Y,Y,0,19.73,,,,,,,,,,8.6763,,,,,,,,,64,2460200.5,60200,2023-09-13.0,J2000,0.7149,1.241,0.354,15.66,6.99,312.92,241.34,2.13,0.7126,2460367.01,2024-02-26.5,505,1.38,0.0431,16.8,3.28,4.85,3.10E-08,7.10E-10,3.90E-08,6.70E-06,7.40E-06,8.40E-06,5.50E-06,1.20E-09,6.10E-10,7.80E-06,4.30E-07,APO,Otto Matic,8017,26-01-2001,08-01-2023,609,,,0,0.45555
20515767,515767 (2015 JA2),515767,,,Y,Y,0,21.17,,,,,,,,,,0.9801,,,,,,,,,49,2460200.5,60200,2023-09-13.0,J2000,0.3492,1.034,0.673,16.42,126.61,246.25,218.74,1.39,0.9376,2460351.16,2024-02-10.6,384,1.05,0.0419,16.3,4.11,5.83,3.00E-07,3.10E-08,2.90E-07,9.70E-06,1.00E-05,1.50E-05,1.10E-04,4.10E-08,4.20E-08,1.20E-04,1.70E-05,APO,Otto Matic,1738,13-05-2015,14-02-2020,169,,,1,0.61674
20516154,516154 (2016 CL32),516154,,,Y,Y,0,19.37,,,,,,,,,,11.181,,,,,,,,,69,2460200.5,60200,2023-09-13.0,J2000,0.4602,1.543,0.833,12.21,123.5,292.92,8.69,2.25,0.5141,2460183.61,2023-08-27.1,700,1.92,0.0237,9.24,3.18,4.32,3.00E-08,8.00E-09,4.80E-08,7.00E-06,1.50E-05,1.60E-05,9.20E-06,1.20E-08,4.00E-09,1.80E-05,5.50E-06,APO,Otto Matic,6940,28-04-2003,28-04-2022,288,,,0,0.52286
20516155,516155 (2016 DP),516155,,,Y,Y,0,20.15,,,,,,,,,,,,,,,,,,,84,2460200.5,60200,2023-09-13.0,J2000,0.477,1.023,0.535,13.33,54.37,254.01,11.66,1.51,0.9532,2460188.27,2023-08-31.7,378,1.03,0.0322,12.5,3.79,5.85,3.00E-07,2.20E-08,2.90E-07,6.00E-06,3.00E-05,2.60E-05,6.70E-05,3.30E-08,3.10E-08,7.00E-05,1.20E-05,APO,Otto Matic,2588,18-02-2016,21-03-2023,361,,,1,0.49558
20517103,517103 (2013 EM20),517103,,,Y,Y,0,19.92,,,,,,,,,,8.038,,,,,,,,,63,2460200.5,60200,2023-09-13.0,J2000,0.318,1.371,0.935,8.36,73.88,350.15,271.66,1.81,0.6138,2460344.41,2024-02-03.9,586,1.61,0.0437,17,3.52,4.76,3.70E-08,5.30E-09,5.20E-08,4.00E-06,3.50E-05,4.00E-05,1.00E-05,7.00E-09,3.60E-09,1.60E-05,3.40E-06,APO,Otto Matic,8795,07-04-1997,06-05-2021,2399,,,0,0.17775
20517681,517681 (2015 DE198),517681,,,Y,Y,0,18.91,,,,,,,,,,33.558,,,,,,,,,88,2460200.5,60200,2023-09-13.0,J2000,0.5831,2.062,0.86,12.25,33.25,218.14,277.35,3.26,0.3328,2460448.82,2024-05-18.3,1.08E+03,2.96,0.0439,17.1,1.87,3.52,2.20E-08,9.70E-09,4.40E-08,6.90E-06,3.40E-05,3.50E-05,7.40E-06,1.50E-08,2.30E-09,2.30E-05,7.60E-06,APO,Otto Matic,25074,08-03-1953,31-10-2021,456,,,0,0.47079
20518640,518640 (2008 KZ5),518640,,,Y,Y,0,20.07,,,,,,,,,,5.789,,,,,,,,,113,2460200.5,60200,2023-09-13.0,J2000,0.4544,1.844,1.006,8.37,142.59,194.4,3.19,2.68,0.3937,2460192.39,2023-09-04.8,914,2.5,0.00287,1.12,2.71,3.87,2.00E-08,2.70E-09,3.80E-08,2.70E-06,2.90E-05,2.70E-05,4.60E-06,3.90E-09,8.70E-10,1.20E-05,2.00E-06,APO,Otto Matic,5527,29-05-2008,17-07-2023,1107,,,0,0.33854
20518678,518678 (2008 UZ94),518678,,,Y,Y,0,17.38,,,,,,,,,,6.36,,,,,,,,,93,2460200.5,60200,2023-09-13.0,J2000,0.5724,2.192,0.937,30.25,248.22,159.7,201.46,3.45,0.3038,2460722.42,2025-02-15.9,1.19E+03,3.24,0.0271,10.5,2.05,3.29,3.00E-08,6.60E-09,6.60E-08,9.90E-06,1.40E-05,1.70E-05,2.80E-06,1.00E-08,1.40E-09,1.00E-05,5.30E-06,APO,Otto Matic,5306,28-10-2008,09-05-2023,381,1,0,0,0.38638
20518810,518810 (2010 CF19),518810,,,Y,Y,0,21.85,,,,,,,0.083,,0.448,,,,,,,,,0.01,46,2460200.5,60200,2023-09-13.0,J2000,0.2699,1.193,0.871,7.18,154.71,265.3,200.37,1.52,0.7562,2460411.59,2024-04-11.0,476,1.3,0.0324,12.6,3.81,5.28,5.10E-08,8.50E-09,6.60E-08,8.00E-06,1.60E-05,2.30E-05,4.10E-05,1.10E-08,8.10E-09,5.60E-05,5.10E-06,APO,Otto Matic,3020,14-02-2010,23-05-2018,180,0,1,0,0.41389
20518847,518847 (2010 DM),518847,,,Y,Y,0,19.04,,,,,,,,,,,,,,,,,,,38,2460200.5,60200,2023-09-13.0,J2000,0.84,2.081,0.333,5,140.77,221.02,237.45,3.83,0.3284,2460573.7,2024-09-20.2,1.10E+03,3,0.0324,12.6,1.64,3.18,5.60E-08,4.40E-08,1.20E-07,1.10E-05,9.60E-05,9.70E-05,7.20E-05,8.10E-08,1.00E-08,2.30E-04,3.50E-05,APO,Otto Matic,7946,03-05-2000,03-02-2022,98,,,0,0.64019
20522684,522684 (2016 JP),522684,,,Y,Y,0,21.13,,,,,,,,,,3.2905,,,,,,,,,127,2460200.5,60200,2023-09-13.0,J2000,0.3835,0.9939,0.613,11.33,202.56,255.64,226.8,1.38,0.9946,2460334.42,2024-01-24.9,362,0.991,0.0304,11.8,3.83,6.03,5.70E-08,1.60E-09,5.70E-08,4.90E-06,9.10E-06,1.20E-05,4.40E-06,2.20E-09,2.40E-09,4.70E-06,8.90E-07,ATE,Otto Matic,2622,02-05-2016,07-07-2023,716,2,0,0,0.40135
20523589,523589 (2001 HA4),523589,,,Y,Y,0,17.79,,,,,,,1.851,,0.047,,,,,,,,,0.04,66,2460200.5,60200,2023-09-13.0,J2000,0.7933,2.69,0.556,17.18,354.05,95.61,45.65,4.82,0.2234,2459996.19,2023-02-20.6,1.61E+03,4.41,0.0249,9.7,1.54,2.77,5.30E-08,4.00E-09,1.40E-07,1.80E-05,2.90E-05,2.70E-05,3.10E-06,7.20E-09,5.00E-10,1.40E-05,3.60E-06,APO,Otto Matic,8073,16-04-2001,24-05-2023,243,,,0,0.34143
