spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms
20001566,  1566 Icarus (1949 MA),1566,Icarus,,Y,Y,0,16.59,,,,,,,1,,0.51,2.2726,,0.774,0.52,,,,,,154,2460200.5,60200,2023-09-13.0,J2000,0.8269,1.078,0.187,22.8,87.95,31.44,168.65,1.97,0.8805,2460008.96,2023-03-05.4,409,1.12,0.0338,13.2,3.22,5.3,1.20E-08,2.60E-09,1.30E-08,3.60E-06,1.20E-06,2.00E-06,8.50E-06,4.70E-09,3.20E-09,8.90E-06,1.50E-06,APO,Otto Matic,27042,01-07-1949,15-07-2023,1540,10,13,0,0.32284
20001620,  1620 Geographos (1951 RA),1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.29,5.22204,,0.862,0.471,,S,S,,0.15,745,2460200.5,60200,2023-09-13.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.95,5.84,1.66,0.7089,2460192.26,2023-09-04.7,508,1.39,0.03,11.7,3.45,5.07,8.40E-09,8.60E-10,1.10E-08,4.40E-07,2.00E-06,2.80E-06,2.80E-06,1.10E-09,7.30E-10,3.90E-06,5.30E-07,APO,Otto Matic,26152,14-09-1951,21-04-2023,7984,3,4,0,0.27978
20001862,  1862 Apollo (1932 HA),1862,Apollo,,Y,Y,1,16.1,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,JPL 477,2460200.5,60200,2023-09-13.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.05,31.77,2.29,0.5526,2460143,2023-07-17.5,652,1.78,0.0261,10.2,3.06,4.41,3.00E-09,1.80E-10,4.40E-09,1.70E-07,1.70E-06,1.70E-06,5.40E-07,2.70E-10,9.90E-11,9.60E-07,1.20E-07,APO,Otto Matic,33768,13-12-1930,27-05-2023,2923,8,9,0,0.43257
20001981,  1981 Midas (1973 EA),1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,229,2460200.5,60200,2023-09-13.0,J2000,0.6501,1.777,0.622,39.82,356.85,267.82,92.26,2.93,0.4162,2459978.82,2023-02-03.3,865,2.37,0.00314,1.22,3.31,3.61,2.20E-08,2.70E-09,4.00E-08,5.20E-06,1.80E-06,5.10E-06,2.40E-06,4.50E-09,9.60E-10,5.30E-06,2.00E-06,APO,Otto Matic,17760,06-03-1973,20-10-2021,1077,12,1,0,0.39189
20002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,47,2460200.5,60200,2023-09-13.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.64,77.18,3.31,0.3843,2459999.65,2023-02-24.1,937,2.56,0.0115,4.48,2.15,3.55,5.90E-08,9.90E-09,1.10E-07,9.60E-06,4.50E-04,4.50E-04,9.60E-06,1.70E-08,3.00E-09,2.40E-05,7.40E-06,APO,Otto Matic,30790,21-02-1936,09-06-2020,123,0,5,0,0.39458
20002102,  2102 Tantalus (1975 YA),2102,Tantalus,,Y,Y,0,15.97,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,253,2460200.5,60200,2023-09-13.0,J2000,0.2993,1.29,0.904,64,94.35,61.52,169.2,1.68,0.6727,2459948.97,2023-01-04.4,535,1.47,0.0419,16.3,3.77,4.45,2.00E-09,8.40E-10,2.50E-09,2.90E-07,3.10E-07,6.90E-07,1.50E-06,1.10E-09,6.60E-10,2.10E-06,5.20E-07,APO,Otto Matic,17351,30-12-1975,02-07-2023,1634,1,0,0,0.31003
20002135,  2135 Aristaeus (1977 HA),2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,24,2460200.5,60200,2023-09-13.0,J2000,0.5028,1.6,0.795,23.07,191.12,290.97,7.48,2.4,0.4871,2460185.14,2023-08-28.6,739,2.02,0.00884,3.44,2.96,4.13,1.30E-06,8.10E-08,2.00E-06,5.10E-05,3.40E-04,1.60E-04,7.50E-04,1.20E-07,3.70E-08,1.50E-03,5.60E-05,APO,Otto Matic,15749,17-04-1977,30-05-2020,61,,,1,0.54865
20002201,  2201 Oljato (1947 XC),2201,Oljato,,Y,Y,0,15.35,,,,,,,1.8,,0.4328,26,,,,,Sq,,,0.1,246,2460200.5,60200,2023-09-13.0,J2000,0.7114,2.178,0.628,2.52,74.87,98.42,211.77,3.73,0.3067,2460683.77,2025-01-08.2,1.17E+03,3.21,0.0029,1.13,1.24,3.3,3.00E-08,8.70E-09,6.40E-08,3.30E-06,1.00E-04,1.00E-04,4.70E-06,1.50E-08,1.80E-09,1.80E-05,7.10E-06,APO,Otto Matic,33176,03-12-1931,02-10-2022,1175,0,5,0,0.45879
20002340,  2340 Hathor (1976 UA),2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.77,0.5,,Sq,CSU,,,62,2460200.5,60200,2023-09-13.0,J2000,0.4499,0.8438,0.464,5.86,211.3,40.09,264.78,1.22,1.272,2460275.38,2023-11-26.8,283,0.775,0.00662,2.58,3.81,6.88,3.60E-08,9.50E-10,3.10E-08,4.30E-06,1.30E-05,1.40E-05,5.70E-06,1.40E-09,2.20E-09,4.60E-06,4.80E-07,ATE,Giorgini,16477,25-10-1976,05-12-2021,572,4,3,0,0.37471
20003122,  3122 Florence (1981 ET3),3122,Florence,,Y,Y,2,14.1,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,742,2460200.5,60200,2023-09-13.0,J2000,0.4231,1.769,1.02,22.14,336.06,27.88,193.13,2.52,0.4189,2460598.84,2024-10-15.3,859,2.35,0.0445,17.3,3,3.92,5.50E-09,3.50E-09,9.80E-09,1.80E-06,1.20E-06,3.30E-06,2.60E-06,4.90E-09,1.20E-09,7.30E-06,2.50E-06,AMO,Otto Matic,16161,09-03-1979,07-06-2023,8133,6,0,0,0.25439
20003200,  3200 Phaethon (1983 TB),3200,Phaethon,,Y,Y,0,14.4,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,780,2460200.5,60200,2023-09-13.0,J2000,0.89,1.271,0.14,22.29,265.15,322.24,334.02,2.4,0.6877,2460238.28,2023-10-20.7,524,1.43,0.0196,7.61,2.73,4.51,1.30E-09,1.40E-09,1.60E-09,4.20E-07,9.80E-07,9.20E-07,1.80E-06,2.70E-09,1.20E-09,2.70E-06,8.90E-07,APO,Davide Farnocchia,14244,27-10-1983,26-10-2022,5620,8,0,0,0.29598
20003361,  3361 Orpheus (1982 HR),3361,Orpheus,,Y,Y,0,19.56,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,182,2460200.5,60200,2023-09-13.0,J2000,0.3229,1.21,0.82,2.66,188.68,302.36,88.47,1.6,0.7401,2460080.97,2023-05-16.4,486,1.33,0.0144,5.6,3.45,5.21,3.60E-08,1.80E-09,4.40E-08,2.30E-06,3.60E-05,3.60E-05,1.60E-06,2.40E-09,1.70E-09,2.00E-06,1.10E-06,APO,Otto Matic,14537,24-04-1982,10-02-2022,2729,2,0,0,0.22095
20003362,  3362 Khufu (1984 QA),3362,Khufu,,Y,Y,0,18.52,,,,,,,0.7,,0.21,,,,,,,,,,24,2460200.5,60200,2023-09-13.0,J2000,0.4686,0.9895,0.526,9.92,152.42,55.07,319.35,1.45,1.001,2460241.09,2023-10-23.5,360,0.984,0.0133,5.17,3.52,6.02,5.70E-07,1.20E-08,5.70E-07,1.20E-05,5.80E-05,4.80E-05,2.00E-04,1.80E-08,1.80E-08,2.00E-04,6.50E-06,ATE,Otto Matic,7394,30-08-1984,27-11-2004,262,,,1,0.6347
20003671,  3671 Dionysus (1984 KD),3671,Dionysus,,Y,Y,1,16.54,,,,,,,1.5,,0.16,2.7053,,,,,Cb,,,,JPL 186,2460200.5,60200,2023-09-13.0,J2000,0.541,2.2,1.009,13.53,82.06,204.3,10.67,3.39,0.3021,2460165.18,2023-08-08.6,1.19E+03,3.26,0.0217,8.46,1.83,3.43,1.80E-08,1.30E-09,4.00E-08,4.00E-06,1.40E-05,1.40E-05,5.70E-06,1.90E-09,2.60E-10,1.90E-05,1.00E-06,APO,Otto Matic,14307,27-05-1984,29-07-2023,1000,,,0,0.479
20003757,  3757 Anagolay (1982 XB),3757,Anagolay,,Y,Y,0,19.04,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,54,2460200.5,60200,2023-09-13.0,J2000,0.4457,1.835,1.017,3.87,74.93,17.22,135.07,2.65,0.3966,2459859.91,2022-10-07.4,908,2.49,0.0363,14.1,2.58,3.9,5.20E-08,2.30E-09,9.50E-08,6.30E-06,6.50E-05,6.90E-05,1.30E-05,3.30E-09,7.40E-10,3.10E-05,1.70E-06,AMO,Otto Matic,14759,14-12-1982,12-05-2023,198,0,2,0,0.71169
20004015,  4015 Wilson-Harrington (1979 VA),4015,Wilson-Harrington,,Y,Y,0,16.18,,,,,,,4,,0.05,3.5736,,0.666,0.279,,,CF,,0.5,323,2460200.5,60200,2023-09-13.0,J2000,0.6316,2.625,0.967,2.8,266.76,95.47,89.08,4.28,0.2318,2459816.15,2022-08-24.6,1.55E+03,4.25,0.0427,16.6,1.22,3.08,2.40E-08,3.30E-09,6.40E-08,4.00E-06,6.80E-05,6.80E-05,2.20E-06,5.40E-09,4.40E-10,9.10E-06,2.90E-06,APO,Otto Matic,26813,19-11-1949,18-04-2023,1520,,,0,0.40981
20004034,  4034 Vishnu (1986 PA),4034,Vishnu,,Y,Y,0,18.52,,,,,,,0.42,,0.52,44.4,,,,,O,,,,116,2460200.5,60200,2023-09-13.0,J2000,0.444,1.06,0.589,11.17,157.9,296.7,258.94,1.53,0.9036,2460312.33,2024-01-02.8,398,1.09,0.0194,7.55,3.69,5.7,5.70E-08,4.90E-09,6.30E-08,5.30E-06,1.80E-05,1.70E-05,1.30E-05,7.10E-09,6.30E-09,1.50E-05,2.80E-06,APO,Otto Matic,13162,02-08-1986,15-08-2022,686,0,1,0,0.41622
20004179,  4179 Toutatis (1989 AC),4179,Toutatis,,Y,Y,0,15.31,0.1,,,,,,5.4,1.70x2.03x4.26,0.405,176,,,,,Sk,,,,627,2460200.5,60200,2023-09-13.0,J2000,0.6247,2.544,0.955,0.45,125.34,277.87,242.54,4.13,0.2429,2460684.11,2025-01-08.6,1.48E+03,4.06,0.00653,2.54,1.3,3.14,1.30E-09,4.90E-10,3.60E-09,1.70E-07,2.20E-05,2.20E-05,3.00E-07,7.90E-10,7.00E-11,1.40E-06,4.30E-07,APO,Otto Matic,32632,10-02-1934,15-06-2023,6656,35,28,0,0.27505
20004183,  4183 Cuno (1959 LM),4183,Cuno,,Y,Y,0,14.18,,,,,,,3.651,,0.097,3.5595,,,,,Sq,,,0.1,598,2460200.5,60200,2023-09-13.0,J2000,0.636,1.981,0.721,6.67,294.35,237.04,34.47,3.24,0.3535,2460102.97,2023-06-07.4,1.02E+03,2.79,0.0284,11.1,1.79,3.57,3.50E-09,6.20E-10,6.80E-09,1.30E-07,1.20E-06,1.20E-06,1.30E-06,1.00E-09,1.60E-10,3.70E-06,4.70E-07,APO,Otto Matic,23407,05-06-1959,06-07-2023,3298,1,0,0,0.40795
20004450,  4450 Pan (1987 SY),4450,Pan,,Y,Y,0,17.28,,,,,,,,,,56.48,,,,,,,,,259,2460200.5,60200,2023-09-13.0,J2000,0.5868,1.442,0.596,5.52,311.77,291.84,324.63,2.29,0.5691,2460262.65,2023-11-14.1,633,1.73,0.0283,11,2.76,4.46,2.00E-08,2.60E-09,2.80E-08,3.30E-06,2.00E-05,1.90E-05,9.70E-06,4.10E-09,1.50E-09,1.70E-05,1.70E-06,APO,Otto Matic,31367,06-02-1937,24-12-2022,1513,1,0,0,0.436
20004486,  4486 Mithra (1987 SB),4486,Mithra,,Y,Y,0,15.62,,,,,,,1.849,2.35 x 1.65 x 1.44,0.297,67.5,,,,,,,,0.02,JPL 313,2460200.5,60200,2023-09-13.0,J2000,0.6625,2.201,0.743,3.04,82.22,168.9,36.49,3.66,0.3018,2460079.6,2023-05-15.0,1.19E+03,3.27,0.0462,18,1.4,3.34,1.50E-08,9.90E-10,3.40E-08,1.80E-06,5.10E-05,5.10E-05,2.10E-06,1.70E-09,2.00E-10,6.90E-06,8.10E-07,APO,Otto Matic,13316,29-01-1987,15-07-2023,1473,8,9,0,0.42052
20004581,  4581 Asclepius (1989 FC),4581,Asclepius,,Y,Y,0,20.74,,,,,,,,,,8.008,,,,,,,,,112,2460200.5,60200,2023-09-13.0,J2000,0.3569,1.023,0.658,4.92,180.21,255.36,190.87,1.39,0.9531,2460377.95,2024-03-08.4,378,1.03,0.00387,1.5,3.88,5.91,6.00E-08,4.80E-09,5.90E-08,2.50E-06,2.00E-05,2.00E-05,2.00E-05,6.60E-09,6.80E-09,2.20E-05,2.70E-06,APO,Otto Matic,11706,31-03-1989,18-04-2021,424,2,2,0,0.47405
20004660,  4660 Nereus (1982 DB),4660,Nereus,,Y,Y,0,18.75,,,,,,,0.33,,0.55,15.1749,,,,,Xe,,,0.05,267,2460200.5,60200,2023-09-13.0,J2000,0.3587,1.485,0.953,1.45,313.12,159.51,334.14,2.02,0.5445,2460247.98,2023-10-30.4,661,1.81,0.00426,1.66,3.11,4.5,6.80E-10,2.90E-09,2.80E-09,1.70E-07,9.10E-06,9.90E-06,7.50E-07,3.90E-09,1.60E-09,1.50E-06,1.90E-06,APO,Otto Matic,14853,30-09-1981,31-05-2022,4952,20,17,0,0.20722
20004769,  4769 Castalia (1989 PB),4769,Castalia,,Y,Y,0,17.5,,,,,,,1.4,,0.092,4.095,,,,,,,,,JPL 104,2460200.5,60200,2023-09-13.0,J2000,0.4832,1.063,0.549,8.88,325.53,121.43,324.42,1.58,0.8992,2460240.07,2023-10-22.5,400,1.1,0.0204,7.95,3.67,5.68,6.70E-09,1.70E-09,6.40E-09,4.40E-07,3.30E-06,3.70E-06,7.40E-06,2.60E-09,2.20E-09,8.30E-06,9.80E-07,APO,Otto Matic,12411,01-08-1989,25-07-2023,396,8,7,0,0.47703
20004953,  4953 (1990 MU),4953,,,Y,Y,0,14.95,,,,,,,,,,14.218,,,,,,,,,320,2460200.5,60200,2023-09-13.0,J2000,0.6574,1.621,0.555,24.38,77.53,77.94,94,2.69,0.4774,2460003.62,2023-02-28.1,754,2.06,0.0248,9.65,2.73,3.98,4.70E-08,1.90E-09,7.60E-08,5.00E-06,1.40E-05,1.30E-05,5.70E-06,3.10E-09,8.40E-10,1.20E-05,1.30E-06,APO,Otto Matic,17877,21-07-1974,01-07-2023,2323,0,2,0,0.33315
20005011,  5011 Ptah (6743 P-L),5011,Ptah,,Y,Y,0,16.71,,,,,,,,,,56.3,,,,,,,,,154,2460200.5,60200,2023-09-13.0,J2000,0.5,1.636,0.818,7.41,10.64,105.93,345.28,2.45,0.471,2460231.75,2023-10-14.2,764,2.09,0.0242,9.43,2.7,4.14,5.80E-08,8.40E-09,9.20E-08,3.90E-06,3.20E-05,3.20E-05,2.50E-05,1.30E-08,3.60E-09,5.30E-05,5.90E-06,APO,Otto Matic,22522,24-09-1960,24-05-2022,629,,,0,0.5013
20005189,  5189 (1990 UQ),5189,,,Y,Y,0,17.84,,,,,,,,,,6.653,,,,,,,,,298,2460200.5,60200,2023-09-13.0,J2000,0.478,1.552,0.81,3.58,135.07,159.96,53.64,2.29,0.5098,2460095.29,2023-05-30.7,706,1.93,0.0447,17.4,2.93,4.31,1.00E-08,2.30E-09,1.60E-08,5.50E-07,4.20E-05,4.20E-05,1.00E-06,3.40E-09,1.10E-09,1.80E-06,1.60E-06,APO,Otto Matic,11884,20-10-1990,04-05-2023,1585,4,1,0,0.39406
20005604,  5604 (1992 FE),5604,,,Y,Y,0,17.38,,,,,,,0.55,,0.48,5.3375,,,,,V,,,,190,2460200.5,60200,2023-09-13.0,J2000,0.4061,0.9286,0.551,4.71,311.9,82.67,189.35,1.31,1.101,2460355.44,2024-02-14.9,327,0.895,0.034,13.2,4.14,6.37,1.30E-08,4.50E-09,1.30E-08,2.40E-06,1.50E-05,1.50E-05,1.70E-05,6.30E-09,8.00E-09,1.60E-05,2.40E-06,ATE,Otto Matic,16041,23-04-1976,24-03-2020,977,6,0,0,0.37888
20005693,  5693 (1993 EA),5693,,,Y,Y,0,16.79,,,,,,,,,,2.496,,,,,,,,,424,2460200.5,60200,2023-09-13.0,J2000,0.5852,1.271,0.527,5.06,96.98,258.98,287.85,2.01,0.6882,2460305.34,2023-12-26.8,523,1.43,0.00598,2.33,3.44,4.89,2.40E-08,1.70E-09,3.10E-08,2.20E-06,2.70E-05,2.60E-05,3.30E-06,2.80E-09,1.40E-09,4.90E-06,1.10E-06,APO,Otto Matic,14423,10-01-1984,07-07-2023,2612,,,0,0.44042
20006037,  6037 (1988 EG),6037,,,Y,Y,0,18.97,,,,,,,,,,2.7602,,,,,,,,,JPL 122,2460200.5,60200,2023-09-13.0,J2000,0.4997,1.272,0.636,3.51,182.22,242.29,334.78,1.91,0.6873,2460237.2,2023-10-19.6,524,1.43,0.0239,9.32,3.44,4.95,3.30E-08,3.10E-09,4.30E-08,2.80E-06,2.30E-05,2.30E-05,8.50E-06,4.60E-09,2.50E-09,1.30E-05,1.90E-06,APO,Otto Matic,12923,12-03-1988,30-07-2023,602,4,4,0,0.40951
20006239,  6239 Minos (1989 QF),6239,Minos,,Y,Y,0,18.61,,,,,,,,,,3.5558,,,,,,,,,236,2460200.5,60200,2023-09-13.0,J2000,0.4127,1.151,0.676,3.94,344.55,239.74,265.23,1.63,0.7981,2460319.25,2024-01-09.7,451,1.23,0.0262,10.2,3.36,5.38,2.10E-08,8.40E-10,2.40E-08,2.00E-06,2.30E-05,2.30E-05,1.00E-05,1.20E-09,8.70E-10,1.30E-05,4.90E-07,APO,Otto Matic,13876,14-01-1983,10-01-2021,1433,3,0,0,0.4543
20006489,  6489 Golevka (1991 JX),6489,Golevka,,Y,Y,0,19.22,,,,,,,0.53,,0.151,6.026,,,,,Q,,,0.03,107,2460200.5,60200,2023-09-13.0,J2000,0.6125,2.486,0.963,2.27,209.47,68.69,51.41,4.01,0.2514,2459996,2023-02-20.4,1.43E+03,3.92,0.0249,9.69,1.16,3.19,2.40E-09,1.90E-09,5.50E-09,6.20E-07,2.20E-05,2.30E-05,1.50E-06,3.10E-09,2.90E-10,5.60E-06,1.60E-06,APO,Otto Matic,8968,15-04-1991,03-11-2015,1017,20,20,0,0.62902
20006491,  6491 (1991 OA),6491,,,Y,Y,0,18.74,,,,,,,,,,2.69,,,,,,,,,30,2460200.5,60200,2023-09-13.0,J2000,0.5904,2.502,1.025,5.94,301.88,323.67,43.34,3.98,0.249,2460026.47,2023-03-22.9,1.45E+03,3.96,0.0429,16.7,1.17,3.19,3.90E-08,2.50E-08,1.00E-07,1.00E-05,8.30E-05,8.40E-05,1.00E-05,3.90E-08,3.70E-09,3.90E-05,2.10E-05,AMO,Otto Matic,10431,18-03-1991,08-10-2019,190,,,0,0.55787
20007335,  7335 (1989 JA),7335,,,Y,Y,1,17.7,,,,,,,1.8,,0.448,2.58988,,,,,,,,,209,2460200.5,60200,2023-09-13.0,J2000,0.4846,1.772,0.913,15.17,61.28,232.29,181.98,2.63,0.418,2460626.43,2024-11-11.9,861,2.36,0.0212,8.27,2.67,3.92,9.10E-09,1.80E-09,1.60E-08,4.10E-06,1.90E-06,3.80E-06,6.10E-07,2.70E-09,6.50E-10,1.70E-06,1.30E-06,APO,Otto Matic,12317,06-04-1989,26-12-2022,2526,4,5,0,0.32116
20007341,  7341 (1991 VK),7341,,,Y,Y,0,16.96,,,,,,,0.982,,0.235,4.2096,,,,,Sq,,,0.32,440,2460200.5,60200,2023-09-13.0,J2000,0.5061,1.841,0.909,5.41,294.74,173.49,240.08,2.77,0.3945,2460504.45,2024-07-12.9,912,2.5,0.0485,18.9,2.39,3.85,2.00E-09,3.00E-10,3.60E-09,2.10E-07,5.50E-06,6.20E-06,3.70E-07,4.60E-10,9.70E-11,9.70E-07,2.30E-07,APO,Otto Matic,11636,12-09-1991,22-07-2023,2369,10,3,0,0.33223
20007482,  7482 (1994 PC1),7482,,,Y,Y,0,16.66,,,,,,,1.052,,0.277,2.5999,,,,,S,,,0.3,JPL 211,2460200.5,60200,2023-09-13.0,J2000,0.3294,1.349,0.904,33.47,117.86,47.51,354.82,1.79,0.6293,2460208.74,2023-09-21.2,572,1.57,0.00156,0.607,3.37,4.66,3.70E-09,2.80E-09,5.10E-09,4.50E-07,6.80E-07,1.30E-06,5.90E-07,3.70E-09,2.00E-09,9.60E-07,1.80E-06,APO,Otto Matic,17476,22-09-1974,28-07-2022,1479,2,2,0,0.36915
20007753,  7753 (1988 XB),7753,,,Y,Y,0,18.02,,,,,,,,,,42.2,,,,,B,,,,234,2460200.5,60200,2023-09-13.0,J2000,0.4816,1.467,0.761,3.12,73.39,280.08,234.01,2.17,0.5546,2460427.65,2024-04-27.1,649,1.78,0.00647,2.52,3.27,4.48,8.60E-09,1.90E-09,1.30E-08,3.50E-06,2.50E-05,2.50E-05,1.20E-06,2.90E-09,1.10E-09,2.60E-06,1.30E-06,APO,Otto Matic,12528,05-12-1988,25-03-2023,1296,8,9,0,0.40714
20007822,  7822 (1991 CS),7822,,,Y,Y,0,17.34,,,,,,,1.602,,0.075,2.3896,,,,,S,,,0.01,310,2460200.5,60200,2023-09-13.0,J2000,0.1646,1.123,0.938,37.12,156.85,249.45,210.93,1.31,0.8285,2460380.42,2024-03-10.9,435,1.19,0.0223,8.69,3.96,5.37,1.80E-08,3.40E-10,2.00E-08,5.90E-06,2.20E-06,9.00E-06,9.90E-06,4.00E-10,3.80E-10,1.20E-05,2.00E-07,APO,Otto Matic,11845,19-01-1991,25-06-2023,3871,0,4,0,0.28618
20008014,  8014 (1990 MF),8014,,,Y,Y,0,18.88,,,,,,,0.7,,,50.09,,,,,,,,,177,2460200.5,60200,2023-09-13.0,J2000,0.4562,1.747,0.95,1.87,209.84,114.74,120.72,2.54,0.4269,2459917.71,2022-12-04.2,843,2.31,0.0168,6.54,2.81,4.01,8.10E-09,6.60E-09,1.40E-08,5.20E-07,5.70E-05,5.70E-05,2.70E-06,9.60E-09,2.40E-09,4.90E-06,4.80E-06,APO,Otto Matic,11615,14-06-1990,02-04-2022,1269,9,12,0,0.28851
20008566,  8566 (1996 EN),8566,,,Y,Y,0,16.48,,,,,,,1.568,,0.217,4.845,,,,,U,,,0.26,278,2460200.5,60200,2023-09-13.0,J2000,0.4303,1.506,0.858,37.98,164.12,125.13,236.86,2.15,0.5331,2460431.46,2024-04-30.9,675,1.85,0.0217,8.46,3.48,4.22,3.10E-08,1.50E-09,4.70E-08,6.80E-06,4.90E-06,6.80E-06,5.10E-06,2.10E-09,7.70E-10,9.80E-06,9.80E-07,APO,Otto Matic,14503,06-04-1983,20-12-2022,3357,,,0,0.32326
20009856,  9856 (1991 EE),9856,,,Y,Y,0,17.11,,,,,,,1,,0.3,3.045,,,,,,,,,193,2460200.5,60200,2023-09-13.0,J2000,0.6258,2.242,0.839,9.83,168.1,116.2,197.14,3.64,0.2936,2460755.2,2025-03-20.6,1.23E+03,3.36,0.0222,8.64,1.69,3.33,1.20E-08,1.60E-09,2.80E-08,4.50E-06,1.90E-05,2.00E-05,3.00E-06,2.60E-09,3.10E-10,1.10E-05,1.30E-06,APO,Otto Matic,11638,13-03-1991,22-01-2023,1304,3,1,0,0.35997
20010115, 10115 (1992 SK),10115,,,Y,Y,0,17.16,,,,,,,0.938,,0.318,7.319,,,,,S:,,,0.29,272,2460200.5,60200,2023-09-13.0,J2000,0.3248,1.249,0.843,15.32,8.9,233.67,161.93,1.65,0.7065,2459971.29,2023-01-26.7,510,1.4,0.0468,18.2,3.4,5.06,9.40E-09,3.60E-10,1.20E-08,1.80E-06,5.00E-06,5.80E-06,3.70E-06,4.70E-10,3.00E-10,5.20E-06,2.20E-07,APO,Otto Matic,24655,12-10-1953,13-04-2021,1619,10,7,0,0.44285
20011500, 11500 Tomaiyowit (1989 UR),11500,Tomaiyowit,,Y,Y,0,18.37,,,,,,,0.738,,0.142,73,,,,,S,,,0.01,213,2460200.5,60200,2023-09-13.0,J2000,0.3558,1.08,0.696,10.31,234.39,289.53,332.26,1.46,0.8784,2460232.09,2023-10-14.5,410,1.12,0.0341,13.3,3.54,5.66,3.60E-08,6.50E-10,3.90E-08,3.30E-06,1.10E-05,1.20E-05,6.30E-06,8.90E-10,8.00E-10,7.20E-06,3.70E-07,APO,Otto Matic,10889,25-10-1989,18-08-2019,1243,0,1,0,0.41856
20012538, 12538 (1998 OH),12538,,,Y,Y,0,15.97,,,,,,,1.663,,0.232,2.575,,,,,S:,,,0.33,JPL 563,2460200.5,60200,2023-09-13.0,J2000,0.4062,1.541,0.915,24.54,220.7,321.79,111.08,2.17,0.515,2459984.82,2023-02-09.3,699,1.91,0.0304,11.8,2.89,4.28,5.00E-09,1.80E-09,8.10E-09,7.80E-07,8.30E-07,1.60E-06,1.90E-06,2.50E-09,9.00E-10,3.60E-06,1.20E-06,APO,Otto Matic,11612,10-10-1991,26-07-2023,10941,0,1,0,0.20498
20012923, 12923 Zephyr (1999 GK4),12923,Zephyr,,Y,Y,0,15.82,,,,,,,2.06,,0.199,3.893,,,,,S:,,,0.01,430,2460200.5,60200,2023-09-13.0,J2000,0.4918,1.963,0.997,5.3,168.18,147.11,268.2,2.93,0.3585,2460456.6,2024-05-26.1,1.00E+03,2.75,0.0215,8.38,2.4,3.72,2.00E-08,2.40E-09,3.90E-08,2.90E-06,2.70E-05,2.70E-05,2.70E-06,3.50E-09,6.50E-10,7.50E-06,1.80E-06,APO,Otto Matic,24823,21-04-1955,07-04-2023,2532,,,0,0.42578
20013651, 13651 (1997 BR),13651,,,Y,Y,0,17.89,,,,,,,0.562,,0.511,33.644,,,,,S,,,0.02,168,2460200.5,60200,2023-09-13.0,J2000,0.3057,1.336,0.927,17.25,116.65,133.8,7.26,1.74,0.6386,2460189.13,2023-09-01.6,564,1.54,0.0145,5.65,3.36,4.82,2.90E-08,8.00E-10,3.80E-08,4.80E-06,1.00E-05,1.30E-05,9.50E-06,1.00E-09,5.70E-10,1.50E-05,5.10E-07,APO,Otto Matic,15689,09-02-1980,23-01-2023,1038,0,2,0,0.52015
20014827, 14827 Hypnos (1986 JK),14827,Hypnos,,Y,Y,0,18.87,,,,,,,0.9,,,,,0.684,0.492,,,,,,52,2460200.5,60200,2023-09-13.0,J2000,0.6653,2.844,0.952,1.98,57.94,238.17,299.39,4.74,0.2055,2460495.38,2024-07-03.8,1.75E+03,4.8,0.015,5.83,0.521,2.93,2.60E-08,2.10E-08,7.30E-08,1.20E-05,2.00E-04,2.00E-04,2.70E-05,3.60E-08,2.30E-09,1.30E-04,2.00E-05,APO,Otto Matic,12022,04-05-1986,03-04-2019,187,0,10,0,0.64984
